Headline,Description,Date,Source,Headline_Tokens,Description_Tokens
gaza jour­nal­ists tar­gets ca­su­al­ties is­rael war,gaza jour­nal­ists be­ing killed un­prece­dent­ed rate plus is­rael pow­er­ful us al­lies chris­t­ian zion­ists,23-12-2023,Al Jazeera,"['gaza', 'jour\xadnal\xadists', 'tar\xadgets', 'ca\xadsu\xadal\xadties', 'is\xadrael', 'war']","['gaza', 'jour\xadnal\xadists', 'be\xading', 'killed', 'un\xadprece\xaddent\xaded', 'rate', 'plus', 'is\xadrael', 'pow\xader\xadful', 'us', 'al\xadlies', 'chris\xadt\xadian', 'zion\xadists']"
is­rael or­ders death cor­ri­dor evac­u­a­tion pales­tini­ans cen­tral gaza,hun­dreds pales­tini­ans forced evac­u­ate bu­reij nu­seirat fri­day amid ris­ing at­tacks,23-12-2023,Al Jazeera,"['is\xadrael', 'or\xadders', 'death', 'cor\xadri\xaddor', 'evac\xadu\xada\xadtion', 'pales\xadtini\xadans', 'cen\xadtral', 'gaza']","['hun\xaddreds', 'pales\xadtini\xadans', 'forced', 'evac\xadu\xadate', 'bu\xadreij', 'nu\xadseirat', 'fri\xadday', 'amid', 'ris\xading', 'at\xadtacks']"
is­rael war gaza list key events day 78,un se­cu­ri­ty coun­cil pass­es res­o­lu­tion boost aid de­liv­ery gaza – oth­er ma­jor up­dates,23-12-2023,Al Jazeera,"['is\xadrael', 'war', 'gaza', 'list', 'key', 'events', 'day', '78']","['un', 'se\xadcu\xadri\xadty', 'coun\xadcil', 'pass\xades', 'res\xado\xadlu\xadtion', 'boost', 'aid', 'de\xadliv\xadery', 'gaza', '–', 'oth\xader', 'ma\xadjor', 'up\xaddates']"
us ac­cus­es iran be­ing deeply in­volved houthi at­tacks red sea,white house says tehran pro­vid­ing yemeni rebel group weapons tac­ti­cal in­tel­li­gence,23-12-2023,Al Jazeera,"['us', 'ac\xadcus\xades', 'iran', 'be\xading', 'deeply', 'in\xadvolved', 'houthi', 'at\xadtacks', 'red', 'sea']","['white', 'house', 'says', 'tehran', 'pro\xadvid\xading', 'yemeni', 'rebel', 'group', 'weapons', 'tac\xadti\xadcal', 'in\xadtel\xadli\xadgence']"
is­raeli forces con­tin­ue at­tacks amid crit­i­cism unsc res­o­lu­tion gaza,wa­tered-down res­o­lu­tion boost­ing aid gaza crit­i­cised coun­tries near­ly mean­ing­less,23-12-2023,Al Jazeera,"['is\xadraeli', 'forces', 'con\xadtin\xadue', 'at\xadtacks', 'amid', 'crit\xadi\xadcism', 'unsc', 'res\xado\xadlu\xadtion', 'gaza']","['wa\xadtered-down', 'res\xado\xadlu\xadtion', 'boost\xading', 'aid', 'gaza', 'crit\xadi\xadcised', 'coun\xadtries', 'near\xadly', 'mean\xading\xadless']"
rsf files sec­ond war crimes com­plaint icc gaza jour­nal­ists killed,lat­est com­plaint paris-based press free­dom group asks court hague probe deaths sev­en jour­nal­ists,22-12-2023,Al Jazeera,"['rsf', 'files', 'sec\xadond', 'war', 'crimes', 'com\xadplaint', 'icc', 'gaza', 'jour\xadnal\xadists', 'killed']","['lat\xadest', 'com\xadplaint', 'paris-based', 'press', 'free\xaddom', 'group', 'asks', 'court', 'hague', 'probe', 'deaths', 'sev\xaden', 'jour\xadnal\xadists']"
un se­cu­ri­ty coun­cil pass­es res­o­lu­tion in­creased gaza aid de­liv­ery,us ab­stains res­o­lu­tion lob­bied weak­en course sev­er­al days al­low­ing pass,22-12-2023,Al Jazeera,"['un', 'se\xadcu\xadri\xadty', 'coun\xadcil', 'pass\xades', 'res\xado\xadlu\xadtion', 'in\xadcreased', 'gaza', 'aid', 'de\xadliv\xadery']","['us', 'ab\xadstains', 'res\xado\xadlu\xadtion', 'lob\xadbied', 'weak\xaden', 'course', 'sev\xader\xadal', 'days', 'al\xadlow\xading', 'pass']"
watch­ing watch­dogs west mis­in­ter­prets mid­dle east pow­er shifts,west­ern me­dia un­able as­sess ac­cu­rate­ly grow­ing pow­er mid-east axis re­sis­tance due prej­u­dices,22-12-2023,Al Jazeera,"['watch\xading', 'watch\xaddogs', 'west', 'mis\xadin\xadter\xadprets', 'mid\xaddle', 'east', 'pow\xader', 'shifts']","['west\xadern', 'me\xaddia', 'un\xadable', 'as\xadsess', 'ac\xadcu\xadrate\xadly', 'grow\xading', 'pow\xader', 'mid-east', 'axis', 're\xadsis\xadtance', 'due', 'prej\xadu\xaddices']"
mar­i­anne williamson us pres­i­den­tial cam­paign econ­o­my gaza,death pales­tin­ian child less hor­ri­fy­ing death is­raeli child au­thor tells al jazeera,22-12-2023,Al Jazeera,"['mar\xadi\xadanne', 'williamson', 'us', 'pres\xadi\xadden\xadtial', 'cam\xadpaign', 'econ\xado\xadmy', 'gaza']","['death', 'pales\xadtin\xadian', 'child', 'less', 'hor\xadri\xadfy\xading', 'death', 'is\xadraeli', 'child', 'au\xadthor', 'tells', 'al', 'jazeera']"
is­rael ai-pow­ered mass as­sas­si­na­tion fac­to­ry,ac­count­abil­i­ty trans­ferred soft­ware sys­tem soft­ware en­gi­neer lau­ra nolan un­packs use ai war,22-12-2023,Al Jazeera,"['is\xadrael', 'ai-pow\xadered', 'mass', 'as\xadsas\xadsi\xadna\xadtion', 'fac\xadto\xadry']","['ac\xadcount\xadabil\xadi\xadty', 'trans\xadferred', 'soft\xadware', 'sys\xadtem', 'soft\xadware', 'en\xadgi\xadneer', 'lau\xadra', 'nolan', 'un\xadpacks', 'use', 'ai', 'war']"
is­rael-gaza war cul­ture so­ci­ety tar­gets,fa­ti­ma bhut­to talks marc la­m­ont hill sup­port gaza mus­lim world at­tacks pales­tin­ian cul­ture,22-12-2023,Al Jazeera,"['is\xadrael-gaza', 'war', 'cul\xadture', 'so\xadci\xadety', 'tar\xadgets']","['fa\xadti\xadma', 'bhut\xadto', 'talks', 'marc', 'la\xadm\xadont', 'hill', 'sup\xadport', 'gaza', 'mus\xadlim', 'world', 'at\xadtacks', 'pales\xadtin\xadian', 'cul\xadture']"
un volk­er turk quar­ter hu­man­i­ty caught 55 glob­al con­flicts,unit­ed na­tions hu­man rights chief volk­er turk ba­sic rights vi­o­la­tions con­flict-rid­den ar­eas,22-12-2023,Al Jazeera,"['un', 'volk\xader', 'turk', 'quar\xadter', 'hu\xadman\xadi\xadty', 'caught', '55', 'glob\xadal', 'con\xadflicts']","['unit\xaded', 'na\xadtions', 'hu\xadman', 'rights', 'chief', 'volk\xader', 'turk', 'ba\xadsic', 'rights', 'vi\xado\xadla\xadtions', 'con\xadflict-rid\xadden', 'ar\xadeas']"
lat­est un gaza res­o­lu­tion us agreed,us heav­i­ly amend­ed uae-led un draft res­o­lu­tion gaza ca­su­al­ties hunger rise en­clave,22-12-2023,Al Jazeera,"['lat\xadest', 'un', 'gaza', 'res\xado\xadlu\xadtion', 'us', 'agreed']","['us', 'heav\xadi\xadly', 'amend\xaded', 'uae-led', 'un', 'draft', 'res\xado\xadlu\xadtion', 'gaza', 'ca\xadsu\xadal\xadties', 'hunger', 'rise', 'en\xadclave']"
us ready back di­lut­ed res­o­lu­tion aid gaza un vote de­layed,un se­cu­ri­ty coun­cil vote ex­pect­ed fri­day af­ter four post­pone­ments coun­tries dis­agree­ments lan­guage text,22-12-2023,Al Jazeera,"['us', 'ready', 'back', 'di\xadlut\xaded', 'res\xado\xadlu\xadtion', 'aid', 'gaza', 'un', 'vote', 'de\xadlayed']","['un', 'se\xadcu\xadri\xadty', 'coun\xadcil', 'vote', 'ex\xadpect\xaded', 'fri\xadday', 'af\xadter', 'four', 'post\xadpone\xadments', 'coun\xadtries', 'dis\xadagree\xadments', 'lan\xadguage', 'text']"
with­out work hope beth­le­hem christ­mas econ­o­my bleeds gaza war,west bank city los­es christ­mas tourism amid dai­ly is­raeli raids con­tin­u­ing as­sault gaza strip,22-12-2023,Al Jazeera,"['with\xadout', 'work', 'hope', 'beth\xadle\xadhem', 'christ\xadmas', 'econ\xado\xadmy', 'bleeds', 'gaza', 'war']","['west', 'bank', 'city', 'los\xades', 'christ\xadmas', 'tourism', 'amid', 'dai\xadly', 'is\xadraeli', 'raids', 'con\xadtin\xadu\xading', 'as\xadsault', 'gaza', 'strip']"
is­rael war gaza list key events day 77,houthi at­tacks dis­cour­ag­ing ship­ping red sea gaza health sys­tem col­laps­es,22-12-2023,Al Jazeera,"['is\xadrael', 'war', 'gaza', 'list', 'key', 'events', 'day', '77']","['houthi', 'at\xadtacks', 'dis\xadcour\xadag\xading', 'ship\xadping', 'red', 'sea', 'gaza', 'health', 'sys\xadtem', 'col\xadlaps\xades']"
pho­tos gaza risk famine fight­ing rages be­tween is­rael hamas,new re­port says least 576600 peo­ple ex­haust­ed food sup­plies face cat­a­stroph­ic hunger star­va­tion,22-12-2023,Al Jazeera,"['pho\xadtos', 'gaza', 'risk', 'famine', 'fight\xading', 'rages', 'be\xadtween', 'is\xadrael', 'hamas']","['new', 're\xadport', 'says', 'least', '576600', 'peo\xadple', 'ex\xadhaust\xaded', 'food', 'sup\xadplies', 'face', 'cat\xada\xadstroph\xadic', 'hunger', 'star\xadva\xadtion']"
biden-ne­tanyahu rift dis­trac­tion pales­tin­ian rights ad­vo­cates say,pales­tin­ian rights sup­port­ers dis­miss re­ports us-is­rael dis­agree­ments biden main­tains staunch back­ing gaza war,22-12-2023,Al Jazeera,"['biden-ne\xadtanyahu', 'rift', 'dis\xadtrac\xadtion', 'pales\xadtin\xadian', 'rights', 'ad\xadvo\xadcates', 'say']","['pales\xadtin\xadian', 'rights', 'sup\xadport\xaders', 'dis\xadmiss', 're\xadports', 'us-is\xadrael', 'dis\xadagree\xadments', 'biden', 'main\xadtains', 'staunch', 'back\xading', 'gaza', 'war']"
